"Tema","Propuesta principal","Propuesta específica","secuencia_palabras"
"Territorio y hábitat (Sectorial)","Implementar política de mejoramiento integral de barrios","Desarrollar e implementar mayor control al incremento abrupto y desmesurado en cargas tributarias relacionadas con la vivienda; así como de los abusos especulativos del sector público y privado en el precio del suelo y de la vivienda.","control cargas tributarias, control especulación suelo vivienda"
"Territorio y hábitat (Sectorial)","Implementar política de mejoramiento integral de barrios","Revisar el Macroproyecto Río Norte, y cambiar el tratamiento de renovación para los barrios del costado oriental del río, reformulando los improcedentes Planes Parciales, debido a las graves afectaciones sociales que no hacerlo traería para el sector nororiental de la ciudad.","mejoramiento integral barrial, mejoramiento integral barrios, renovación barrios río"
"Territorio y hábitat (Sectorial)","Implementar política de mejoramiento integral de barrios","Dotación en infraestructura para agua potable y alcantarillado en barrios populares para el logro de cobertura universal de estos servicios públicos en la Zona Nororiental.","Dotación agua potable barrios populares, Dotación alcantarillado barrios populares"
"Empleo digno y generación de ingresos (Poblacional)","Saldar la deuda histórica con las y los trabajadores domésticos, a través de estrategias para el reconocimiento de su valor social, la garantía de una remuneración justa, y su efectiva reglamentación. Fortalecer los lineamientos jurídicos, sociales, políticos y económicos que dignifican la laboral del trabajo doméstico.","Reglamentar la Ley 1496 de 2011 sobre Equidad Salarial para garantizar la igualdad de remuneración en el trabajo doméstico, una profesión feminizada y minusvalorada socialmente.","Equidad Salarial trabajo doméstico"
"Empleo digno y generación de ingresos (Poblacional)","Saldar la deuda histórica con las y los trabajadores domésticos, a través de estrategias para el reconocimiento de su valor social, la garantía de una remuneración justa, y su efectiva reglamentación. Fortalecer los lineamientos jurídicos, sociales, políticos y económicos que dignifican la laboral del trabajo doméstico.","Fortalecer la inspección laboral en el servicio doméstico, incluyendo la inspección por discriminación. Diseñar participativamente (con organizaciones sindicales) una estrategia de fortalecimiento multidimensional de la inspección laboral en el servicio doméstico formal e informal: inspección preventiva con seguimiento, plan de visitas de oficio, vigilancia en salud ocupacional a las empresas y hogares con servicio doméstico.","servicio doméstico inspección laboral "
"Empleo digno y generación de ingresos (Poblacional)","Saldar la deuda histórica con las y los trabajadores domésticos, a través de estrategias para el reconocimiento de su valor social, la garantía de una remuneración justa, y su efectiva reglamentación. Fortalecer los lineamientos jurídicos, sociales, políticos y económicos que dignifican la laboral del trabajo doméstico.","Incluir dentro de la legislación interna la protección a trabajadoras domésticas migrantes, lo que se contempla en el Convenio 189 de la Organización Internacional del Trabajo (OIT).","servicio doméstico legislación interna protecciones "
"Empleo digno y generación de ingresos (Poblacional)","Saldar la deuda histórica con las y los trabajadores domésticos, a través de estrategias para el reconocimiento de su valor social, la garantía de una remuneración justa, y su efectiva reglamentación. Fortalecer los lineamientos jurídicos, sociales, políticos y económicos que dignifican la laboral del trabajo doméstico.","Impulsar la formalización laboral. Estrategia concertada con organizaciones sindicales para generar un proceso de formalización laboral en el servicio doméstico, y hacer especial vigilancia y control a empresas, asociaciones, fundaciones y en general a la tercerización e intermediación laboral legal e ilegal del sector.","servicio doméstico formalización laboral "
"Empleo digno y generación de ingresos (Poblacional)","Saldar la deuda histórica con las y los trabajadores domésticos, a través de estrategias para el reconocimiento de su valor social, la garantía de una remuneración justa, y su efectiva reglamentación. Fortalecer los lineamientos jurídicos, sociales, políticos y económicos que dignifican la laboral del trabajo doméstico.","Fomentar el diálogo social en el sector y procesos organizativos. Disfrute de libertad sindical, libertad de asociación y derecho de negociación colectiva.","servicio doméstico libertad sindical, servicio doméstico libertad de asociación,
servicio doméstico derecho de negociación colectiva "
"Empleo digno y generación de ingresos (Poblacional)","Saldar la deuda histórica con las y los trabajadores domésticos, a través de estrategias para el reconocimiento de su valor social, la garantía de una remuneración justa, y su efectiva reglamentación. Fortalecer los lineamientos jurídicos, sociales, políticos y económicos que dignifican la laboral del trabajo doméstico.","Implementar una estrategia de sensibilización para el mejoramiento de la situación laboral dirigida a empleadores (organizaciones, empresas y hogares privados), trabajadoras y trabajadores domésticos, inspectoras e inspectores, y comunidad en general, para el reconocimiento de su valor social, la promoción de la formalización laboral, la educación para la contratación, la promoción de un entorno laboral seguro, entre otras.","servicio doméstico mejoramiento, servicio doméstico situación laboral, servicio doméstico valor social, servicio doméstico formalización laboral, servicio doméstico entorno laboral seguro"
"Empleo digno y generación de ingresos (Poblacional)","Saldar la deuda histórica con las y los trabajadores domésticos, a través de estrategias para el reconocimiento de su valor social, la garantía de una remuneración justa, y su efectiva reglamentación. Fortalecer los lineamientos jurídicos, sociales, políticos y económicos que dignifican la laboral del trabajo doméstico.","Desarrollar un canal de comunicación inmediato y efectivo para la información de empleadores y trabajadoras(es) domésticos, así como para la recepción de denuncias que provoquen inspección. En particular, se requiere promover mecanismos para eliminar la violencia de género en esta relación laboral que se desarrolla en el ámbito de lo privado.","servicio doméstico comunicación empleadores trabajadoras, servicio doméstico inspección laboral, servicio doméstico eliminar violencia género"
"Empleo digno y generación de ingresos (Poblacional)","Saldar la deuda histórica con las y los trabajadores domésticos, a través de estrategias para el reconocimiento de su valor social, la garantía de una remuneración justa, y su efectiva reglamentación. Fortalecer los lineamientos jurídicos, sociales, políticos y económicos que dignifican la laboral del trabajo doméstico.","Impulsar la asociación desde figuras empresariales, promoviendo, no solo mejores condiciones laborales y la capacidad para hacerle seguimiento, sido además el empoderamiento desde una figura empresarial para la cualificación del trabajo.","servicio doméstico mejoramiento, servicio doméstico cualificación del trabajo"
"Economía solidaria, y desarrollo económico para el cuidado","Sistema Distrital de Cuidado de Medellín - SDCM","Recibir, entender y desarrollar lo que quedó en el diseño del SDCM.","Sistema Distrital Cuidado Medellín"
"Economía solidaria, y desarrollo económico para el cuidado","Sistema Distrital de Cuidado de Medellín - SDCM","Pedagogía sobre el SDCM. Diseñar y activar una movilización gubernamental y ciudadana tendiente a la valoración de la economía del cuidado y al SDCM.","Sistema Distrital Cuidado Medellín"
"Economía solidaria, y desarrollo económico para el cuidado","Sistema Distrital de Cuidado de Medellín - SDCM","Institucionalizar un espacio de relacionamiento permanente con el Sistema Nacional de Cuidado.","Institucionalizar Sistema Nacional Cuidado"
"Economía solidaria, y desarrollo económico para el cuidado","Sistema Distrital de Cuidado de Medellín - SDCM","Revisión y mejoramiento continuo en la aplicación del trazador presupuestal de género en todas las secretarías y su conjugación con la perspectiva de economía del cuidado. ","aplicación trazador presupuestal género"
"Economía solidaria, y desarrollo económico para el cuidado","Sistema Distrital de Cuidado de Medellín - SDCM","Gestión de recursos de Cooperación Internacional, Nacional, privados y gubernamentales para el desarrollo y fortalecimiento del Sistema Distrital de Cuidado de Medellín."," Sistema Distrital Cuidado Medellín"
"Economía solidaria, y desarrollo económico para el cuidado","Sistema Distrital de Cuidado de Medellín - SDCM","Asignación presupuestal para el desarrollo del Plan de Acción de la Política Pública de Cuidadores articulada al Sistema Distrital de Cuidado.","Política Pública Cuidadores"
"Economía solidaria, y desarrollo económico para el cuidado","Sistema Distrital de Cuidado de Medellín - SDCM","Continuar los procesos de caracterización de las poblaciones demandantes de cuidado y la de cuidadoras, cuidadores y asistentes personales, lo mismo que los servicios de oferta y demanda de cuidado,","caracterización poblaciones demandantes de cuidado, caracterización cuidadoras cuidadores asistentes personales"
"Cultura para la transformación","Potenciar la política pública de Cultura Viva Comunitaria en diálogo con el Ministerio de Cultura del Gobierno nacional, para el fomento y la promoción del arte y la cultura y para el alcance de la paz en Medellín."," ","política pública de Cultura Viva Comunitaria"
"Educación incluyente e intercultural","Garantía del derecho a la educación para niños, niñas y jóvenes (NNJ) con mayores condiciones de vulnerabilidad: migrantes, víctimas del conflicto, extraedad, con necesidades específicas, entre otros.","Seguimiento a las rutas de acceso a los núcleos educativos para las garantías del derecho a la educación en NNJ.","Seguimiento rutas de acceso "
"Educación incluyente e intercultural","Garantía del derecho a la educación para niños, niñas y jóvenes (NNJ) con mayores condiciones de vulnerabilidad: migrantes, víctimas del conflicto, extraedad, con necesidades específicas, entre otros.","Estrategias para la permanencia escolar: ampliación del cupo del tiquete estudiantil, ampliación del cupo del programa de alimentación escolar.","permanencia escolar, tiquete estudiantil, programa de alimentación escolar "
"Educación incluyente e intercultural","Garantía del derecho a la educación para niños, niñas y jóvenes (NNJ) con mayores condiciones de vulnerabilidad: migrantes, víctimas del conflicto, extraedad, con necesidades específicas, entre otros.","Ampliar la oferta y cobertura de modelos de educación flexible de educación.","modelos educación flexible"
"Educación incluyente e intercultural","Garantía del derecho a la educación para niños, niñas y jóvenes (NNJ) con mayores condiciones de vulnerabilidad: migrantes, víctimas del conflicto, extraedad, con necesidades específicas, entre otros.","Mayor veeduría de los casos de acoso y violencias sexuales a NNJ, a partir de núcleos educativos (Acuerdo 0036-2011 y ley 1620).","veeduría casos de acoso y violencias sexuales"
"Salud pública, integral y holística","Garantizar la atención y la prevención en salud general y especializada en barrios populares de Medellín. Promoción de la salud, prevención de la enfermedad y el cuidado integral de individuos, familias y comunidad en general incluyendo  incluyendo obstetricia, pediatría, nutrición, salud mental, salud sexual y reproductiva, entre otras."," ","prevención salud general, atención salud general, prevención salud  especializada, atención salud  especializada"
